"NATMON_IND","Indicator","LOCATION","country","TIME","Time","completed_education","Flag Codes","Flags"
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","MYS","Malaysia","2019","2019",98.80791,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","HND","Honduras","2019","2019",81.42068,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","MUS","Mauritius","2019","2019",95.45147,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","PHL","Philippines","2019","2019",98.52199,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","OMN","Oman","2019","2019",,"a","Category not applicable"
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","ZAF","South Africa","2019","2019",95.84019,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","MKD","North Macedonia","2019","2019",94.65777,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","40606","Sub-Saharan Africa","2019","2019",58.43074,"‡","UIS Estimation"
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","MNE","Montenegro","2019","2019",98.33484,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","KAZ","Kazakhstan","2019","2019",97.14414,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","URY","Uruguay","2019","2019",98.76949,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","SVN","Slovenia","2019","2019",99.83115,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","40530","Central and Eastern Europe","2019","2019",98.74802,"‡","UIS Estimation"
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","BFA","Burkina Faso","2019","2019",73.20882,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","CYP","Cyprus","2019","2019",95.9654,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","CUB","Cuba","2019","2019",95.98802,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","BLR","Belarus","2019","2019",98.52577,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","MAR","Morocco","2019","2019",98.33522,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","DNK","Denmark","2019","2019",99.69314,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","ARM","Armenia","2019","2019",99.37332,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","HKG","China, Hong Kong Special Administrative Region","2019","2019",99.14685,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","CHN","China","2019","2019",96.66286,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","40344","Small Island Developing States","2019","2019",59.48151,"‡","UIS Estimation"
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","GBR","United Kingdom of Great Britain and Northern Ireland","2019","2019",99.82562,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","ITA","Italy","2019","2019",99.90003,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","ALB","Albania","2019","2019",88.87198,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","HUN","Hungary","2019","2019",98.69691,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","40619","Eastern and South-Eastern Asia","2019","2019",96.53195,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","WSM","Samoa","2019","2019",91.40224,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","AUT","Austria","2019","2019",99.45825,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","ROU","Romania","2019","2019",95.42308,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","CHL","Chile","2019","2019",98.87639,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","GTM","Guatemala","2019","2019",81.29972,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","TUR","Türkiye","2019","2019",99.85513,,
